config,seed,metric,delta_ens_minus_no
Tuned,42,average_precision,0.06190409208417269
Tuned,42,roc_auc,0.03175919970065233
Tuned,42,f1,0.0620314291400188
Tuned,42,recall,-0.024601063829787218
Tuned,43,average_precision,0.06460608067245344
Tuned,43,roc_auc,0.03278096378793549
Tuned,43,f1,0.06465384998891827
Tuned,43,recall,-0.03812056737588665
Tuned,44,average_precision,0.06304355172680476
Tuned,44,roc_auc,0.0335298346890458
Tuned,44,f1,0.0632299188137671
Tuned,44,recall,-0.018949468085106558
Tuned,45,average_precision,0.0632512909129439
Tuned,45,roc_auc,0.03533386451564913
Tuned,45,f1,0.07012193899372648
Tuned,45,recall,-0.02083333333333337
Tuned,46,average_precision,0.057413458186086785
Tuned,46,roc_auc,0.03419357639592613
Tuned,46,f1,0.06314038201889777
Tuned,46,recall,-0.022273936170212782
Tuned,47,average_precision,0.05735978702568728
Tuned,47,roc_auc,0.033496203663075264
Tuned,47,f1,0.06424784231387176
Tuned,47,recall,-0.030363475177304977
Tuned,48,average_precision,0.062091725763415206
Tuned,48,roc_auc,0.03644478486445912
Tuned,48,f1,0.05813484325727453
Tuned,48,recall,-0.017508865248227035
Tuned,49,average_precision,0.06059540494111637
Tuned,49,roc_auc,0.032625979754333456
Tuned,49,f1,0.0616162729757776
Tuned,49,recall,-0.03080673758865249
Tuned,50,average_precision,0.054366020050398034
Tuned,50,roc_auc,0.03330888433747603
Tuned,50,f1,0.06867357430950244
Tuned,50,recall,-0.042996453900709164
Tuned,51,average_precision,0.055335971296458286
Tuned,51,roc_auc,0.03198914497940508
Tuned,51,f1,0.07130869195858364
Tuned,51,recall,-0.02648492907801414
