config;model;group;n_seeds;balanced_accuracy_mean;balanced_accuracy_std;balanced_accuracy_median;balanced_accuracy_q1;balanced_accuracy_q3;precision_mean;precision_std;precision_median;precision_q1;precision_q3;recall_mean;recall_std;recall_median;recall_q1;recall_q3;f1_mean;f1_std;f1_median;f1_q1;f1_q3;roc_auc_mean;roc_auc_std;roc_auc_median;roc_auc_q1;roc_auc_q3;average_precision_mean;average_precision_std;average_precision_median;average_precision_q1;average_precision_q3
Baseline;Bagging (Decision Tree);Ensemble;10;0.657634509;0.003222369;0.656622396;0.655940243;0.660361013;0.347226902;0.005028193;0.3470542;0.345695936;0.347578549;0.364361702;0.008020172;0.360704787;0.360123005;0.371343085;0.355506846;0.003353323;0.355365487;0.353166521;0.357464119;0.817127012;0.002575044;0.816931392;0.81515391;0.818425618;0.286069507;0.007130826;0.285036924;0.281138277;0.292621157
Baseline;Decision Tree;No Ensemble;10;0.628878439;0.00366554;0.629394787;0.626180324;0.630568935;0.218676438;0.004273573;0.219660723;0.215363181;0.221904554;0.346442819;0.008043793;0.346575798;0.340009973;0.350066489;0.268088886;0.004848306;0.268619511;0.26582031;0.271552071;0.629231656;0.00367386;0.629432736;0.626572267;0.630687747;0.119563432;0.002389754;0.119591873;0.118372156;0.121291619
Baseline;Logistic Regression;No Ensemble;10;0.747889732;0.002631878;0.748534897;0.746867082;0.749330554;0.180298986;0.001646397;0.180403079;0.179169336;0.181538032;0.735239362;0.005754308;0.735704787;0.731299867;0.740525266;0.289580238;0.002283115;0.289618696;0.288307915;0.291521829;0.82293093;0.004066837;0.824359352;0.821655174;0.82537508;0.311066494;0.008385474;0.312161337;0.308097305;0.315743272
Baseline;Random Forest;Ensemble;10;0.666343846;0.003769702;0.667004692;0.662755513;0.667914986;0.366029136;0.00450527;0.364990722;0.363239826;0.367454989;0.379820479;0.008470329;0.381316489;0.372007979;0.383144947;0.37274665;0.004827133;0.371948701;0.369006353;0.375689484;0.833569725;0.001791003;0.833574277;0.832802899;0.834072605;0.311723378;0.005345322;0.314179145;0.306712088;0.315931171
Baseline;SVM (Lineal);No Ensemble;10;0.737288096;0.002371288;0.737310811;0.735437346;0.738269699;0.172396604;0.000819758;0.172298291;0.172039271;0.172897452;0.723304521;0.005604794;0.722406915;0.718999335;0.726313165;0.278429142;0.001377521;0.278345462;0.277576052;0.279453008;0.80531397;0.002820463;0.805434185;0.803231747;0.807436747;0.272341985;0.004790847;0.271806253;0.268859338;0.276304319
Baseline;XGBoost;Ensemble;10;0.699803217;0.003245188;0.699536408;0.697021499;0.702428518;0.372773835;0.005599182;0.373442713;0.371319803;0.374571416;0.454388298;0.006997722;0.454953457;0.44872008;0.459441489;0.409519063;0.004767303;0.40766465;0.405702803;0.413646926;0.849247421;0.002154641;0.84796251;0.847719636;0.850835183;0.344541132;0.004875326;0.344834971;0.341905313;0.346766159
Tuned;Bagging (Decision Tree);Ensemble;10;0.773525333;0.003476447;0.773789359;0.770191758;0.775561899;0.236920822;0.004464341;0.235654692;0.233992903;0.23944992;0.711236702;0.010280439;0.708610372;0.703041888;0.720661569;0.355390979;0.004504828;0.35424159;0.351818801;0.358518958;0.857257581;0.002366351;0.855990815;0.855805461;0.859441733;0.376145922;0.006913573;0.374181313;0.369843926;0.382641453
Tuned;Decision Tree;No Ensemble;10;0.753730004;0.004226962;0.753668394;0.752931196;0.754988776;0.206345264;0.011648245;0.208282811;0.197461997;0.210449427;0.701994681;0.026112633;0.707114362;0.692320479;0.720412234;0.318505174;0.011254978;0.320963729;0.309954981;0.323466721;0.830396282;0.005204866;0.829358516;0.826895182;0.833246592;0.329350242;0.008941693;0.328325066;0.324629036;0.332006027
Tuned;Logistic Regression;No Ensemble;10;0.753460249;0.002539925;0.754348378;0.752785327;0.754930999;0.189930167;0.001712043;0.190098871;0.189136351;0.190629209;0.729953457;0.005918113;0.729720745;0.727476729;0.733460771;0.301424213;0.002278096;0.301574123;0.301002043;0.302149236;0.833016618;0.003286787;0.833447706;0.832226752;0.834720842;0.3318621;0.007380055;0.331855783;0.328821194;0.336540504
Tuned;Random Forest;Ensemble;10;0.774122309;0.003877012;0.77342241;0.770962746;0.777190194;0.237016131;0.002272717;0.237371063;0.236289736;0.238865332;0.712599734;0.011236997;0.711602394;0.703873005;0.723986037;0.355687659;0.002177206;0.35580084;0.35507139;0.356856892;0.857174694;0.002744829;0.855817929;0.854918882;0.859022711;0.373161744;0.008205187;0.374151111;0.365538092;0.379745337
Tuned;SVM (Lineal);No Ensemble;10;0.737289287;0.002373343;0.737310811;0.735428416;0.738275653;0.172397986;0.000823126;0.172298291;0.172039271;0.172918056;0.723304521;0.005604794;0.722406915;0.718999335;0.726313165;0.278430944;0.001381613;0.278345462;0.277576052;0.279461958;0.805313852;0.00282018;0.805434229;0.80323186;0.807436769;0.272338937;0.00478686;0.271805175;0.268859057;0.276303964
Tuned;XGBoost;Ensemble;10;0.761856495;0.005518757;0.761067188;0.758587644;0.765660745;0.270037752;0.004828074;0.269709615;0.266505775;0.273386823;0.649534574;0.013052554;0.646110372;0.641040559;0.662483378;0.381429316;0.005385733;0.380854288;0.378294597;0.383875056;0.854933208;0.002958419;0.853442109;0.852804582;0.85699799;0.364233828;0.006343927;0.36219594;0.360245142;0.370171994
