seed,config,model,group,threshold,pos_label,n_test,pos_rate_test,tp,tn,fp,fn,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,fit_seconds
42,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2201,32663,9329,807,0.7547770307312842,0.1908933217692975,0.7317154255319149,0.30279268124914016,0.836571422672201,0.3429058750238997,2.710747003555298
42,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2140,33914,8078,868,0.7595330974896941,0.20943433157173616,0.711436170212766,0.3236050204143354,0.8344872095064713,0.33245874240153683,0.8869597911834717
42,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2178,31579,10413,830,0.7380466720104741,0.1729807005003574,0.7240691489361702,0.2792486697865248,0.8084525638178802,0.27890741367420135,0.33513689041137695
42,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2181,34807,7185,827,0.7769812347742022,0.23286354900704676,0.7250664893617021,0.35251333441086147,0.8589313839667535,0.38391641355318434,6.167583227157593
42,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2178,34896,7096,830,0.7775422902234671,0.23485011861117103,0.7240691489361702,0.35466536394723985,0.8599364869207609,0.38381614824155935,20.169336318969727
42,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1938,36859,5133,1070,0.7610221729164217,0.27407721680101826,0.644281914893617,0.38456196051195557,0.8559209242109946,0.3722517455574123,0.7985575199127197
43,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2189,32656,9336,819,0.7526990006708472,0.1899349240780911,0.7277260638297872,0.3012454414092066,0.8328828124366647,0.33265112430474975,2.3065357208251953
43,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2168,32978,9014,840,0.7530423728126532,0.1938830262922554,0.7207446808510638,0.30556730091613815,0.8289894234540114,0.32919217856620114,0.8760743141174316
43,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2168,31584,10408,840,0.7364439731174732,0.17239185750636132,0.7207446808510638,0.2782340862422998,0.8050880955541684,0.2707417692646814,0.3563575744628906
43,Tuned,Random Forest,Ensemble,0.5,1,45000,0.06684444444444444,2130,35145,6847,878,0.7725284172669161,0.23727303107942518,0.7081117021276596,0.35544430538172717,0.856427091735812,0.38002795415512813,6.142503499984741
43,Tuned,Bagging (Decision Tree),Ensemble,0.5,1,45000,0.06684444444444444,2124,34977,7015,884,0.769530695816427,0.23241054820002188,0.7061170212765957,0.34971597925413683,0.8561719852033619,0.38227076942778365,20.391305208206177
43,Tuned,XGBoost,Ensemble,0.5,1,45000,0.06684444444444444,1927,36618,5374,1081,0.7563241212611926,0.2639364470620463,0.640625,0.37384809389853524,0.8527041458694766,0.36410459057008093,0.7005832195281982
44,Tuned,Logistic Regression,No Ensemble,0.5,1,45000,0.06684444444444444,2216,32468,9524,792,0.7549485109625744,0.1887563884156729,0.7367021276595744,0.300515324111744,0.833969883099567,0.3358311153434789,2.3177082538604736
44,Tuned,Decision Tree,No Ensemble,0.5,1,45000,0.06684444444444444,2114,33925,8067,894,0.7553422663080709,0.20764168549258422,0.7027925531914894,0.32057017211312455,0.8339862235980613,0.33927030424192856,0.6259856224060059
44,Tuned,SVM (Lineal),No Ensemble,0.5,1,45000,0.06684444444444444,2187,31479,10513,821,0.738351979657726,0.1722047244094488,0.727061170212766,0.2784568372803667,0.8075054363825126,0.2718692490079351,0.28821301460266113
